n_oracle,n_audit,policy,rep,omega_estimator,audit_W,audit_p,audit_decision
1500,245,right_skew,15,analytical,54.014005242826286,1.8663959266973507e-12,REFUSE-LEVEL
1500,245,right_skew,15,boot_remax_ridge,0.4909954917844229,0.7823150472149638,PASS
1500,245,right_skew,15,boot_remax_no_ridge,9.715908080456547,0.007766357302032345,REFUSE-LEVEL
1500,245,right_skew,15,boot_fixed,54.0111286060422,1.869060461956451e-12,REFUSE-LEVEL
1500,252,right_skew,17,analytical,0.8683623835495758,0.6477948697488585,PASS
1500,252,right_skew,17,boot_remax_ridge,0.08183659954028932,0.9599075514118197,PASS
1500,252,right_skew,17,boot_remax_no_ridge,0.843722126318796,0.6558251513384066,PASS
1500,252,right_skew,17,boot_fixed,0.855011100611834,0.6521337824441031,PASS
1500,265,right_skew,18,analytical,15.419291865750578,0.0004484802411354183,REFUSE-LEVEL
1500,265,right_skew,18,boot_remax_ridge,0.4646221798895317,0.7926994841064585,PASS
1500,265,right_skew,18,boot_remax_no_ridge,13.263917091877197,0.001317580016326092,REFUSE-LEVEL
1500,265,right_skew,18,boot_fixed,13.11513601703047,0.0014193333229207683,REFUSE-LEVEL
1500,237,right_skew,20,analytical,8.87821324073978,0.01180648147967478,REFUSE-LEVEL
1500,237,right_skew,20,boot_remax_ridge,0.01172302577462711,0.994155632264152,PASS
1500,237,right_skew,20,boot_remax_no_ridge,14.440651108745259,0.000731564216179148,REFUSE-LEVEL
1500,237,right_skew,20,boot_fixed,8.667205644567641,0.01312019251356511,REFUSE-LEVEL
1500,247,right_skew,21,analytical,1.072546299940143,0.5849241197630534,PASS
1500,247,right_skew,21,boot_remax_ridge,0.10403263246017024,0.949313377501036,PASS
1500,247,right_skew,21,boot_remax_no_ridge,1.2185586908906172,0.5437425784797246,PASS
1500,247,right_skew,21,boot_fixed,1.1053900401972587,0.5753970123963471,PASS
1500,237,right_skew,19,analytical,11.790561316507713,0.002752403749822996,REFUSE-LEVEL
1500,237,right_skew,19,boot_remax_ridge,0.028923408476548625,0.9856423639347531,PASS
1500,237,right_skew,19,boot_remax_no_ridge,13.081578827041447,0.0014433486502340998,REFUSE-LEVEL
1500,237,right_skew,19,boot_fixed,12.742713957029284,0.0017098374379470593,REFUSE-LEVEL
1500,258,right_skew,22,analytical,0.4380987025495681,0.8032820741810223,PASS
1500,258,right_skew,22,boot_remax_ridge,0.016915212317640888,0.9915780587746693,PASS
1500,258,right_skew,22,boot_remax_no_ridge,0.370180335365272,0.8310293484832469,PASS
1500,258,right_skew,22,boot_fixed,0.500138156990917,0.7787469865431613,PASS
1500,260,right_skew,23,analytical,3.999963795222886,0.13533773315066988,PASS
1500,260,right_skew,23,boot_remax_ridge,0.22934382278679835,0.8916586389624809,PASS
1500,260,right_skew,23,boot_remax_no_ridge,3.3314762709872325,0.18905106116928427,PASS
1500,260,right_skew,23,boot_fixed,4.008519906842352,0.13475998747036733,PASS
1500,295,right_skew,24,analytical,4.006840807309399,0.13487317269204357,PASS
1500,295,right_skew,24,boot_remax_ridge,0.001034809842706861,0.9994827289094903,PASS
1500,295,right_skew,24,boot_remax_no_ridge,3.6113910184858584,0.1643601028440287,PASS
1500,295,right_skew,24,boot_fixed,3.8035883962439576,0.14930050408468243,PASS
1500,237,right_skew,25,analytical,0.8584719719600239,0.6510062826969214,PASS
1500,237,right_skew,25,boot_remax_ridge,0.05309677726465149,0.9738009218006953,PASS
1500,237,right_skew,25,boot_remax_no_ridge,0.8809423791506683,0.643733029318523,PASS
1500,237,right_skew,25,boot_fixed,0.9294191695049825,0.6283175516930243,PASS
1500,247,right_skew,26,analytical,2.815064364934238,0.24474652827142462,PASS
1500,247,right_skew,26,boot_remax_ridge,0.051473277829591796,0.9745917253477512,PASS
1500,247,right_skew,26,boot_remax_no_ridge,3.741846146925183,0.15398145999441304,PASS
1500,247,right_skew,26,boot_fixed,2.9242428740891127,0.23174412231321873,PASS
1500,261,right_skew,28,analytical,0.8317506372163953,0.6597625254663838,PASS
1500,261,right_skew,28,boot_remax_ridge,0.05991397145909102,0.970487277452935,PASS
1500,261,right_skew,28,boot_remax_no_ridge,0.8553729472997804,0.652015806892053,PASS
1500,261,right_skew,28,boot_fixed,0.8305964570850929,0.6601433777479839,PASS
1500,222,right_skew,29,analytical,1.0678692509421464,0.5862935797809787,PASS
1500,222,right_skew,29,boot_remax_ridge,0.07400606612060276,0.9636732124656566,PASS
1500,222,right_skew,29,boot_remax_no_ridge,1.066447011965223,0.5867106528483382,PASS
1500,222,right_skew,29,boot_fixed,1.0375760789291144,0.5952415202185503,PASS
1500,253,right_skew,27,analytical,1.6820507861288858,0.4312680773318549,PASS
1500,253,right_skew,27,boot_remax_ridge,0.00044210689762713923,0.9997789709816999,PASS
1500,253,right_skew,27,boot_remax_no_ridge,1.5952777402106446,0.4503911416430342,PASS
1500,253,right_skew,27,boot_fixed,1.4686156305798002,0.4798374802187638,PASS
1500,248,right_skew,30,analytical,1.2676835841001102,0.5305496193901891,PASS
1500,248,right_skew,30,boot_remax_ridge,0.0002406403901694051,0.9998796870430997,PASS
1500,248,right_skew,30,boot_remax_no_ridge,1.2162294513482028,0.5443762007299524,PASS
1500,248,right_skew,30,boot_fixed,1.1070409574074842,0.574922241959738,PASS
1500,260,right_skew,31,analytical,3.2864900582474084,0.19335159162607218,PASS
